order_id,Section A,Section B,Section C,Section D,Section E,Section F,Section G,Section H,Section I,Section J,number_of_items
1,1,0,1,0,1,1,0,1,0,0,9
2,0,0,1,1,1,1,0,1,1,0,15
3,0,1,0,0,1,1,1,1,1,0,1
4,1,1,1,1,0,1,0,0,0,0,18
5,0,1,1,0,1,1,1,1,0,1,4
6,1,0,0,1,0,1,1,1,1,0,19
7,0,0,0,0,0,1,0,1,1,0,8
8,1,1,1,0,1,1,1,1,1,1,4
9,1,1,1,1,0,0,0,1,0,1,19
10,0,1,0,0,0,0,1,0,0,1,8
11,1,0,0,0,0,1,0,1,1,1,15
12,0,0,1,1,0,1,0,1,0,0,15
13,0,0,0,1,0,0,0,1,0,0,7
14,1,1,0,0,0,0,0,1,0,0,3
15,0,1,1,0,0,0,0,0,0,0,8
16,0,1,0,1,1,1,0,0,1,0,9
17,1,0,1,1,1,1,1,0,0,1,16
18,0,0,1,1,1,1,0,1,1,1,9
19,1,0,1,1,0,1,0,0,1,1,17
20,0,1,1,0,1,0,0,0,1,1,11
21,1,0,1,0,1,0,0,0,0,1,4
22,1,0,0,1,1,0,0,0,1,0,19
23,1,1,1,0,1,0,0,0,1,0,12
24,1,1,1,1,0,0,0,0,1,0,7
25,0,0,1,1,1,0,0,1,0,1,14
26,0,1,0,1,1,1,0,0,0,1,11
27,0,1,1,0,0,1,1,0,1,1,16
28,1,1,1,0,1,1,1,1,0,1,18
29,1,1,0,0,0,0,0,1,0,1,15
30,0,1,1,0,0,0,1,0,1,1,13
31,0,0,0,1,0,0,1,1,0,0,8
32,0,0,1,1,0,1,1,1,1,0,13
33,1,1,1,0,1,0,1,0,0,1,20
34,0,1,0,1,0,0,1,0,1,0,19
35,1,0,0,0,1,1,1,1,0,1,7
36,0,1,0,0,0,0,1,1,1,1,13
37,1,0,0,1,1,0,1,1,1,1,5
38,1,0,1,1,0,1,1,0,0,0,18
39,1,1,1,0,1,0,1,1,1,1,1
40,0,1,0,1,0,0,0,0,0,1,19
41,0,1,1,0,1,0,1,1,0,0,7
42,1,1,1,0,0,0,1,1,1,1,2
43,0,1,0,0,0,1,1,0,0,1,5
44,1,1,1,0,0,1,1,1,1,1,20
45,1,1,0,0,0,0,1,0,1,1,10
46,0,0,0,0,0,0,0,0,0,0,17
47,0,1,0,1,1,1,1,1,0,0,8
48,1,0,0,1,0,0,0,0,1,0,12
49,0,1,1,0,0,1,1,0,1,1,18
50,1,0,1,0,0,1,1,1,0,0,4
51,1,0,0,0,1,0,1,1,1,0,20
52,0,1,1,1,0,0,0,0,1,1,1
53,0,1,0,0,0,0,1,1,0,1,2
54,0,1,0,0,0,0,0,1,0,1,1
55,1,0,0,1,0,0,1,0,0,0,5
56,0,1,0,0,1,0,0,1,0,1,6
57,0,0,1,0,0,0,0,0,1,1,17
58,0,1,0,0,0,1,0,0,1,0,2
59,0,0,1,0,1,0,1,0,0,1,10
60,0,0,1,1,0,0,0,1,1,0,17
61,1,0,1,1,1,1,0,1,0,0,13
62,0,0,0,0,0,1,0,1,0,1,20
63,0,1,1,0,0,0,0,0,0,1,20
64,1,1,1,0,0,0,1,1,0,1,5
65,0,1,1,1,1,0,0,1,0,0,15
66,0,0,1,1,1,0,0,1,0,1,6
67,1,1,1,1,1,1,0,1,0,0,8
68,0,0,0,0,1,0,1,1,1,0,2
69,0,1,1,0,1,1,0,1,0,1,7
70,1,0,0,0,0,0,1,0,1,1,14
71,1,1,0,0,1,0,0,1,1,0,17
72,0,1,1,0,0,0,0,0,1,1,1
73,1,0,0,1,0,0,0,1,0,1,9
74,1,1,1,0,0,1,1,0,0,0,19
75,1,1,0,1,1,0,0,1,0,0,10
76,1,1,1,1,0,0,0,0,0,0,2
77,1,0,0,1,0,1,0,0,1,0,10
78,0,1,1,1,1,1,0,0,1,0,9
79,1,1,0,0,0,1,1,1,0,1,7
80,1,0,1,0,1,1,1,1,0,0,5
81,0,1,0,0,0,0,1,1,1,1,19
82,1,1,1,0,1,1,1,1,0,0,10
83,0,0,0,0,1,0,1,0,0,1,4
84,1,1,1,0,1,1,1,1,0,1,10
85,1,1,0,0,0,1,1,0,1,0,7
86,1,1,0,1,0,1,0,0,0,1,20
87,0,1,0,0,1,1,1,1,0,1,2
88,0,0,0,0,1,1,0,0,1,0,7
89,1,0,1,1,1,1,1,1,0,1,7
90,1,0,0,0,1,1,0,0,1,1,8
91,1,1,0,1,0,1,0,0,1,0,8
92,1,0,1,0,1,0,1,0,1,1,16
93,0,1,1,1,0,1,0,0,0,0,15
94,1,0,1,0,1,0,1,1,1,1,1
95,0,0,0,1,1,1,1,0,1,0,4
96,0,1,1,0,0,0,0,1,0,0,2
97,0,1,0,1,1,0,1,1,1,0,20
98,0,0,1,0,1,1,1,0,1,0,11
99,1,0,0,0,0,1,1,0,1,0,9
100,1,1,0,0,0,0,1,1,0,0,4
101,1,1,0,0,1,0,0,1,1,0,5
102,0,0,0,0,1,1,0,0,1,1,14
103,0,0,1,1,1,1,1,0,1,1,8
104,0,1,1,1,1,1,0,0,0,0,16
105,1,0,0,0,0,1,0,1,0,0,13
106,1,1,1,0,1,1,1,0,1,1,1
107,0,1,0,1,0,1,1,1,1,1,9
108,1,0,0,1,1,1,1,1,1,0,9
109,1,1,0,0,1,0,0,1,0,0,14
110,1,0,0,0,1,0,1,1,0,1,20
111,1,0,0,0,0,1,1,0,1,1,1
112,0,0,0,0,1,1,0,1,1,1,10
113,1,0,1,1,1,1,0,0,1,1,18
114,0,0,1,0,1,0,1,1,0,0,5
115,0,1,0,0,0,1,0,0,0,0,18
116,0,0,0,0,1,1,0,1,0,0,10
117,1,0,0,1,1,1,0,0,0,0,4
118,1,0,1,1,1,0,0,1,0,0,7
119,0,0,1,1,1,0,0,0,0,0,11
120,0,1,1,0,0,1,0,0,0,0,2
121,0,0,0,0,0,1,0,0,0,1,2
122,1,0,1,1,0,0,0,1,1,1,3
123,1,1,0,1,1,0,0,1,0,0,9
124,0,0,0,0,1,0,1,0,1,1,1
125,1,1,0,1,0,0,1,0,1,0,18
126,0,1,0,1,0,1,1,1,1,1,18
127,0,1,0,1,1,0,0,0,0,0,5
128,1,1,0,1,1,0,1,0,1,1,20
129,0,0,0,0,1,0,0,0,1,1,9
130,1,0,0,1,0,1,1,1,1,0,12
131,0,1,1,1,0,1,1,1,1,1,15
132,0,1,1,0,1,1,1,0,0,0,10
133,0,0,0,1,1,0,1,1,1,0,13
134,1,1,1,0,0,0,0,0,1,0,8
135,1,1,1,1,1,0,0,1,0,0,14
136,1,0,1,1,1,1,0,0,0,0,12
137,1,1,0,1,1,0,1,1,1,1,5
138,1,0,1,1,1,0,1,0,0,1,11
139,0,1,0,0,0,1,1,1,0,1,1
140,0,0,0,0,0,1,1,1,0,0,19
141,1,1,1,1,0,1,0,0,0,1,5
142,1,0,1,1,1,0,1,0,0,1,12
143,0,0,0,0,0,0,0,1,0,0,1
144,1,1,1,1,1,0,0,0,1,0,11
145,0,0,0,1,0,0,1,1,1,0,19
146,0,0,1,0,0,0,1,1,0,1,12
147,1,1,1,0,1,1,1,0,0,0,12
148,0,0,1,0,1,1,0,1,0,0,4
149,1,1,0,1,1,1,0,0,0,1,20
150,0,0,0,1,1,0,0,1,1,1,1
151,1,1,1,0,1,0,0,0,1,0,16
152,1,1,0,1,0,0,1,0,0,0,5
153,1,1,1,0,1,1,1,1,1,0,6
154,0,1,0,0,0,0,1,1,1,1,6
155,1,0,0,1,1,1,0,1,1,1,5
156,0,1,0,1,1,1,1,0,0,0,2
157,0,0,0,0,1,0,1,1,0,0,13
158,1,1,1,1,0,1,0,0,1,1,9
159,0,0,1,1,1,0,1,1,1,1,14
160,1,0,0,0,0,0,1,1,1,0,1
161,1,1,0,1,1,0,1,1,1,1,14
162,1,1,1,0,1,0,0,1,0,0,3
163,1,0,1,0,0,0,1,0,1,0,10
164,0,1,1,1,1,0,1,0,0,0,3
165,1,1,1,0,1,0,1,1,0,0,19
166,0,0,1,1,1,1,1,1,0,0,9
167,1,1,1,0,0,1,0,0,1,0,6
168,1,1,0,1,0,0,0,0,0,0,16
169,1,1,0,1,1,0,0,1,0,1,14
170,0,1,1,1,0,1,1,0,1,0,7
171,1,0,1,1,1,0,1,1,1,0,18
172,0,1,1,0,1,1,0,1,1,1,2
173,1,0,1,1,0,0,0,0,0,0,9
174,1,1,1,1,0,1,1,0,0,1,11
175,1,0,1,1,1,0,0,0,1,0,6
176,1,1,0,0,1,0,0,0,0,0,9
177,0,0,0,1,0,1,1,1,0,0,10
178,1,0,0,1,0,1,1,1,1,0,14
179,0,1,1,1,0,0,0,0,0,0,4
180,0,0,1,0,0,0,0,1,0,0,11
181,1,0,0,0,0,0,1,1,0,1,4
182,1,0,1,0,1,0,0,0,1,1,6
183,0,1,1,0,0,1,0,1,0,0,1
184,1,0,0,1,0,1,1,0,1,1,14
185,0,1,0,1,0,0,0,1,0,1,18
186,1,0,0,0,1,1,1,0,1,0,14
187,0,0,0,1,0,1,1,0,1,0,2
188,1,1,1,0,1,0,1,0,1,0,11
189,0,0,0,0,0,0,1,1,1,0,6
190,0,1,0,0,1,1,0,1,1,1,11
191,1,0,1,0,0,0,1,1,1,1,18
192,1,0,1,1,0,1,1,1,0,0,20
193,1,0,0,0,1,1,1,0,1,1,3
194,1,0,1,1,1,1,0,0,0,0,14
195,0,1,0,0,0,0,0,1,1,0,20
196,1,1,0,1,1,1,0,0,0,0,2
197,0,0,0,1,0,1,0,0,0,1,16
198,0,1,0,1,0,1,1,0,0,1,10
199,0,0,1,0,1,1,0,1,0,0,20
200,0,1,1,0,0,1,1,1,1,0,18
201,0,0,1,0,0,0,1,0,1,1,13
202,1,0,0,1,0,0,1,0,1,0,9
203,1,1,1,0,1,1,1,1,1,1,7
204,1,1,1,0,0,1,0,0,1,0,16
205,1,0,0,0,1,1,0,0,1,1,14
206,0,1,0,0,0,1,0,1,0,0,10
207,1,0,0,0,0,0,1,1,1,1,20
208,1,0,0,1,1,0,1,0,0,0,4
209,0,1,1,0,1,1,1,0,1,1,19
210,1,0,0,0,1,1,1,1,0,1,13
211,1,0,1,0,0,0,1,0,0,0,5
212,1,1,0,1,1,1,1,0,0,0,19
213,0,0,1,1,1,1,0,0,0,0,15
214,0,0,0,0,0,1,0,1,1,1,16
215,1,1,1,0,1,0,0,1,1,1,9
216,0,0,0,1,1,0,0,0,1,1,4
217,0,0,0,0,0,0,1,0,1,1,20
218,0,0,1,0,1,0,0,1,0,0,3
219,1,0,1,1,0,1,1,0,1,1,7
220,0,1,0,0,1,0,1,0,0,0,10
221,0,1,0,1,0,1,0,0,0,0,2
222,1,0,1,0,0,0,1,1,1,1,13
223,1,0,0,0,1,0,0,0,1,1,14
224,0,0,0,0,1,0,1,0,0,1,14
225,1,1,1,0,0,1,1,1,0,1,15
226,1,0,1,0,1,1,0,1,1,0,13
227,1,0,0,1,1,1,1,1,0,0,16
228,0,0,1,0,1,1,1,0,1,1,14
229,0,0,0,1,1,1,0,0,0,1,20
230,1,1,0,1,0,1,0,1,0,0,9
231,1,0,1,1,1,0,0,0,0,1,10
232,1,0,1,1,1,0,1,0,1,1,10
233,1,1,1,1,1,1,1,0,0,0,19
234,0,0,1,0,0,0,1,1,0,0,18
235,0,1,0,1,0,0,0,1,0,1,18
236,0,1,1,1,0,1,1,1,0,1,5
237,1,1,1,1,1,1,0,1,0,0,20
238,0,1,0,1,1,0,1,0,0,1,1
239,1,1,0,0,0,0,0,1,1,0,20
240,0,1,0,1,1,0,1,1,1,1,9
241,0,1,1,1,0,0,1,1,1,0,16
242,1,1,1,0,0,1,1,1,1,0,11
243,0,0,0,0,0,1,1,0,0,0,8
244,1,0,1,1,1,0,0,0,1,0,4
245,1,0,1,0,1,1,1,1,0,0,20
246,0,1,1,1,0,0,1,1,1,1,9
247,0,0,1,1,1,0,0,1,1,1,15
248,1,1,0,0,1,0,1,1,1,1,5
249,0,0,1,1,1,0,1,0,0,0,9
250,1,1,1,1,0,0,1,1,0,0,10
251,1,1,0,1,1,0,1,1,0,1,16
252,1,0,1,0,0,0,1,0,1,1,10
253,1,1,1,1,0,1,1,0,0,0,11
254,0,0,1,0,0,0,0,1,1,0,2
255,0,1,0,0,0,1,1,0,0,0,12
256,1,1,1,1,1,0,0,1,0,1,17
257,0,0,0,0,1,1,1,0,1,1,9
258,1,0,1,0,0,1,0,0,1,0,12
259,1,1,0,0,1,1,1,1,1,0,11
260,1,0,1,1,1,1,0,1,1,0,14
261,0,1,0,0,0,1,0,0,1,0,19
262,1,1,1,1,0,0,1,0,0,1,12
263,1,0,0,0,0,1,0,0,0,0,3
264,1,1,1,1,1,0,1,1,1,0,1
265,1,0,0,0,1,1,0,0,1,0,3
266,1,0,1,0,0,0,1,1,1,0,7
267,0,1,0,0,1,0,1,0,1,0,7
268,0,0,1,0,1,0,0,0,1,0,10
269,0,1,0,1,0,1,1,0,0,0,19
270,0,0,0,1,0,0,1,1,1,0,6
271,0,1,0,0,1,1,1,0,0,0,8
272,1,1,1,0,0,0,0,1,0,0,1
273,0,0,1,0,0,0,0,0,0,1,15
274,0,0,0,0,1,0,0,0,1,1,16
275,1,0,1,1,0,1,1,1,0,1,6
276,0,0,0,1,0,1,0,0,0,0,16
277,0,0,1,0,0,0,0,1,1,1,11
278,1,0,0,1,0,1,1,1,0,0,11
279,1,1,0,0,0,0,1,1,1,1,15
280,1,0,0,0,1,0,0,1,1,1,17
281,0,1,1,0,1,1,1,0,0,0,16
282,0,0,0,0,0,0,0,1,1,1,17
283,1,0,1,0,0,1,1,0,1,1,14
284,0,0,0,1,0,0,1,0,1,1,11
285,0,1,1,1,1,0,1,1,0,0,14
286,1,1,1,1,0,0,1,1,1,1,10
287,0,0,0,1,0,0,1,0,0,0,5
288,1,1,1,0,1,1,1,1,0,1,18
289,1,0,0,0,0,0,1,0,0,1,5
290,1,1,0,0,1,1,0,0,1,0,7
291,1,0,1,0,0,1,1,0,1,0,19
292,0,1,0,0,1,0,1,0,1,1,14
293,0,0,1,0,0,1,0,0,0,1,16
294,1,0,1,1,0,0,1,1,0,0,13
295,0,0,1,0,0,0,1,1,0,0,20
296,0,0,0,1,0,0,1,1,0,0,7
297,1,0,1,0,0,0,1,0,1,0,15
298,0,1,0,0,0,1,0,1,1,0,19
299,1,0,1,0,0,1,0,0,1,1,20
300,0,0,1,0,0,1,0,0,0,1,4
301,1,0,1,0,0,0,1,1,1,1,7
302,1,0,1,1,0,0,1,1,1,1,6
303,1,0,1,1,1,1,0,1,1,0,9
304,1,1,0,1,1,1,1,1,0,0,9
305,1,0,1,1,0,0,1,1,1,0,7
306,1,1,1,1,0,1,1,1,0,1,6
307,0,0,0,1,0,0,0,1,0,1,20
308,1,0,1,0,0,1,0,0,1,0,1
309,0,0,1,0,1,1,1,0,0,0,19
310,0,0,0,0,0,1,0,0,1,0,8
311,1,1,1,0,1,1,0,1,1,0,6
312,0,0,0,0,0,1,1,1,1,1,2
313,1,1,0,1,0,1,1,0,0,0,5
314,1,0,0,1,1,0,1,0,1,1,14
315,0,0,1,1,1,0,1,1,0,1,10
316,0,1,1,1,0,1,0,0,0,1,18
317,1,0,0,0,1,1,0,1,1,0,3
318,1,0,0,1,1,1,1,1,0,1,1
319,1,0,0,1,0,1,0,1,1,0,19
